	Subject	CRN	Subject Abbr	Course Number	Section	Campus	Credit Hours	Title	Days	Time	Section Capacity	Section Actual	Section Remaining	Waitlist Capacity	Waitlist Actual	Waitlist Remaining	Instructor(s)	Date	Location	Attributes
18	Accounting	20061	ACC	3010	01	D	3.000	Intermediate Accounting II	M	05:30 pm-08:00 pm	40	7	33	0	0	0	John M  Trussel	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Potential Test Proctoring Fee and Upper Division Credit
19	Accounting	23841	ACC	3050	0	C	3.000	Managerial Cost Accounting	TR	10:50 am-12:05 pm	40	20	20	0	0	0	Louis A  Fayard	01/10-05/03	FLET 201	COBA Differential Course Fee and Upper Division Credit
20	Accounting	23842	ACC	3050	01	C	3.000	Managerial Cost Accounting	W	05:30 pm-08:00 pm	40	9	31	0	0	0	Louis A  Fayard	01/10-05/03	FLET 201	COBA Differential Course Fee and Upper Division Credit
21	Accounting	20064	ACC	3070	0	C	3.000	Federal Tax Accounting	TR	10:50 am-12:05 pm	40	19	21	0	0	0	Spencer C  Usrey	01/10-05/03	FLET 125	COBA Differential Course Fee and Upper Division Credit
22	Accounting	21969	ACC	3900R	0	C	1.000-3.000	Experiential Learning: Academic Internship Program	N/A	TBD	0	4	-4	0	0	0	Jaclyn   Wooten-York	01/10-05/03	TBD	COBA Differential Course Fee and Beyond the Classroom and Repeatable Course and Upper Division Credit
23	Accounting	20951	ACC	4010	0	C	3.000	Advanced Accounting	TR	01:40 pm-02:55 pm	40	10	30	0	0	0	John M  Trussel	01/10-05/03	FLET 200	COBA Differential Course Fee and Upper Division Credit
24	Accounting	20065	ACC	4050	0	C	3.000	Auditing	MW	03:25 pm-04:40 pm	40	4	36	0	0	0	Anne Marie  Wilkins	01/10-05/03	FLET 117	COBA Differential Course Fee and Upper Division Credit
25	Accounting	20608	ACC	4050	01	D	3.000	Auditing	N/A	TBD	40	20	20	0	0	0	Anne Marie  Wilkins	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Potential Test Proctoring Fee and Upper Division Credit
26	Accounting	23843	ACC	4060	0	C	3.000	Advanced Managerial Accounting	TR	09:25 am-10:40 am	40	13	27	0	0	0	Louis A  Fayard	01/10-05/03	FLET 201	COBA Differential Course Fee and Upper Division Credit
27	Accounting	20066	ACC	4070	0	D	3.000	Governmental and Nonprofit Accounting	N/A	TBD	30	19	11	0	0	0	Amie Leigh  Haun	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Potential Test Proctoring Fee and Upper Division Credit
28	Accounting	20067	ACC	4080	01	C	3.000	Accounting Information Systems	R	05:30 pm-08:00 pm	40	27	13	0	0	0	Surani   Vincent	01/10-05/03	FLET 114	COBA Differential Course Fee and Upper Division Credit
29	Accounting	20068	ACC	4110	0	D	3.000	Taxation of Corporations and Partnerships	N/A	TBD	30	19	11	0	0	0	Spencer C  Usrey	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Potential Test Proctoring Fee and Upper Division Credit
30	Accounting	23182	ACC	5070	00	D	3.000	Governmental and Nonprofit Accounting	N/A	TBD	0	1	-1	0	0	0	Amie Leigh  Haun	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Business Graduate Course Fee and Potential Test Proctoring Fee and Repeatable Course
31	Accounting	20711	ACC	5110	0	D	3.000	Taxation of Corporations and Partnerships	N/A	TBD	0	2	-2	0	0	0	Spencer C  Usrey	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Business Graduate Course Fee and Potential Test Proctoring Fee and Repeatable Course
32	Accounting	20069	ACC	5420	0	C	3.000	Tax Research and Advanced Tax Topics	MW	05:30 pm-08:00 pm	0	10	-10	0	0	0	Spencer C  Usrey	01/10-02/28	FLET 117	COBA Differential Course Fee and Business Graduate Course Fee and Repeatable Course
33	Accounting	21135	ACC	5420L	0	C	1.000	Tax Research and Advanced Tax Topics Lab	N/A	TBD	0	9	-9	0	0	0	Spencer C  Usrey	01/10-05/03	TBD	COBA Differential Course Fee and Business Graduate Course Fee and Repeatable Course
34	Accounting	20790	ACC	5520	0	C	3.000	Advanced Auditing	MW	05:30 pm-08:00 pm	0	9	-9	0	0	0	Anne Marie  Wilkins	03/01-04/25	FLET 117	COBA Differential Course Fee and Business Graduate Course Fee and Repeatable Course
35	Accounting	21136	ACC	5520L	0	C	1.000	Advanced Auditing Lab	N/A	TBD	0	8	-8	0	0	0	Spencer C  Usrey	03/01-04/25	TBD	COBA Differential Course Fee and Business Graduate Course Fee and Repeatable Course
36	Accounting	21357	ACC	5855	0	D	3.000	Accounting for Managers	N/A	TBD	25	13	12	0	0	0	Michael L  Owens	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Business Graduate Course Fee and Course Materials Charge and Potential Test Proctoring Fee and Repeatable Course
37	Accounting	24799	ACC	5855	01	C	3.000	Accounting for Managers	N/A	TBD	0	1	-1	0	0	0	Michael L  Owens	01/10-05/03	TBD	COBA Differential Course Fee and Business Graduate Course Fee and Course Materials Charge and Repeatable Course
38	Anthropology	20774	ANTH	1200	01	C	3.000	Cultural Anthropology	TR	09:25 am-10:40 am	40	40	0	0	0	0	Andrew G  Workinger	01/10-05/03	BROK 202	Lower Division Credit and Non-Western Cultures
39	Anthropology	20775	ANTH	1200	02	C	3.000	Cultural Anthropology	TR	12:15 pm-01:30 pm	70	70	0	0	0	0	Emma   McDonell	01/10-05/03	540MC 103	Lower Division Credit and Non-Western Cultures
40	Anthropology	20952	ANTH	1200	03	C	3.000	Cultural Anthropology	MW	03:25 pm-04:40 pm	70	70	0	0	0	0	Ryan Declan  Poland	01/10-05/03	BROK 201	Lower Division Credit and Non-Western Cultures
41	Anthropology	23693	ANTH	1200	04	D	3.000	Cultural Anthropology	N/A	TBD	40	40	0	0	0	0	Andrew G  Workinger	01/10-05/03	XX INTERNET	Lower Division Credit and Non-Western Cultures and Potential Test Proctoring Fee
42	Anthropology	20872	ANTH	1200	05	D	3.000	Cultural Anthropology	N/A	TBD	80	80	0	0	0	0	Sarah A  Brown	01/10-05/03	XX INTERNET	Lower Division Credit and Non-Western Cultures and Potential Test Proctoring Fee
43	Anthropology	22337	ANTH	1200	06	D	3.000	Cultural Anthropology	N/A	TBD	80	78	2	0	0	0	Sarah A  Brown	01/10-05/03	XX INTERNET	Lower Division Credit and Non-Western Cultures and Potential Test Proctoring Fee
44	Anthropology	24329	ANTH	1200	07	D	3.000	Cultural Anthropology	N/A	TBD	45	44	1	0	0	0	Zibin   Guo	01/10-05/03	XX INTERNET	Lower Division Credit and Non-Western Cultures and Potential Test Proctoring Fee
45	Anthropology	22840	ANTH	1200	08	D	3.000	Cultural Anthropology	TR	12:15 pm-01:30 pm	40	40	0	0	0	0	H Lyn White  Miles	01/10-05/03	XX INTERNET	Lower Division Credit and Non-Western Cultures and Potential Test Proctoring Fee
46	Anthropology	20767	ANTH	1400	0	C	3.000	Archaeology	TR	10:50 am-12:05 pm	35	35	0	0	0	0	Andrew G  Workinger	01/10-05/03	BROK 202	Lower Division Credit and Behavioral&Social Science
47	Anthropology	22338	ANTH	1400	01	C	3.000	Archaeology	MW	02:00 pm-03:15 pm	70	68	2	0	0	0	Morgan Forrester  Smith	01/10-05/03	LUPH 242	Lower Division Credit and Behavioral&Social Science
48	Anthropology	23957	ANTH	2600	01	C	3.000	Food, Society, Identity	TR	03:05 pm-04:20 pm	35	31	4	0	0	0	Emma   McDonell	01/10-05/03	BROK 202	N/A
49	Anthropology	23958	ANTH	3160	01	C	3.000	Chinese Society and Culture	R	05:30 pm-08:00 pm	35	12	23	0	0	0	Zibin   Guo	01/10-05/03	BROK 205	Upper Division Credit
50	Anthropology	23184	ANTH	3220	01	C	3.000	Medicine and Disease: A Cross-Cultural Perspective	TR	10:50 am-12:05 pm	18	17	1	0	0	0	Zachary   Simoni	01/10-05/03	BROK 402	Upper Division Credit
51	Anthropology	23959	ANTH	3330	01	C	3.000	The Archaeology of Latin America	TR	01:40 pm-02:55 pm	35	10	25	0	0	0	Andrew G  Workinger	01/10-05/03	BROK 405	Upper Division Credit
52	Anthropology	23960	ANTH	3370	01	C	3.000	Tennessee Archaeology	MW	03:25 pm-04:40 pm	35	26	9	0	0	0	Morgan Forrester  Smith	01/10-05/03	BROK 301	Upper Division Credit
53	Anthropology	23961	ANTH	3550	01	C	3.000	Archives, Collection Management, and Curation	MW	02:00 pm-03:15 pm	26	25	1	0	0	0	Ashley Brooke  Persons	01/10-05/03	BROK 301	Upper Division Credit
54	Anthropology	23962	ANTH	4010	01	C	3.000	Geography of Travel and Tourism	MWF	01:00 pm-01:50 pm	10	5	5	0	0	0	Craig R  Laing	01/10-05/03	BROK 206	Upper Division Credit
55	Anthropology	21752	ANTH	4940R	0	D	3.000-6.000	Anthropology Internship	N/A	TBD	0	3	-3	0	0	0	Morgan Forrester  Smith	01/10-05/03	XX INTERNET	Potential Test Proctoring Fee and Repeatable Course and Upper Division Credit
56	Applied Leadership	24407	LEAP	3010	0	D	3.000	Practice of Applied Leadership	N/A	TBD	0	9	-9	0	0	0	John Wesley  Harbison, Mike George  Breakey 	01/10-02/28	XX INTERNET	Potential Test Proctoring Fee and Upper Division Credit
57	Applied Leadership	24193	LEAP	3030	0	D	3.000	Leadership and Diverse Multicultural Organizations	N/A	TBD	0	16	-16	0	0	0	David W  Rausch, Izetta Elizabeth  Slade 	01/10-02/28	XX INTERNET	Potential Test Proctoring Fee and Upper Division Credit
58	Applied Leadership	24194	LEAP	3040	0	D	3.000	Emotional Intelligence and Leadership	N/A	TBD	0	20	-20	0	0	0	John Wesley  Harbison	03/01-04/25	XX INTERNET	Potential Test Proctoring Fee and Upper Division Credit
59	Applied Leadership	24647	LEAP	4020	01	D	3.000	Ethics and Leadership Practice	N/A	TBD	0	2	-2	0	0	0	Elizabeth K  Crawford	01/10-02/28	XX INTERNET	Potential Test Proctoring Fee and Upper Division Credit
60	Applied Leadership	24195	LEAP	4050	0	D	3.000	Global Perspectives of Leadership	N/A	TBD	0	9	-9	0	0	0	David W  Rausch, Kali Morgan  Worley 	03/01-04/25	XX INTERNET	Potential Test Proctoring Fee and Upper Division Credit
61	Art	20026	ART	1020	0	C	3.000	Space and Sequence	MW	11:00 am-01:40 pm	15	15	0	0	0	0	Heath Justin  Schultz	01/10-05/03	BRET 103	Beyond the Classroom and Lab/Studio Fee and Lower Division Credit
62	Art	20031	ART	1020	01	C	3.000	Space and Sequence	TR	03:05 pm-05:45 pm	15	15	0	0	0	0	Trevor Hunter  Reese	01/10-05/03	BRET 103	Beyond the Classroom and Lab/Studio Fee and Lower Division Credit
63	Art	20032	ART	1020	02	C	3.000	Space and Sequence	TR	10:50 am-01:30 pm	15	15	0	0	0	0	David J  Court	01/10-05/03	BRET 103	Beyond the Classroom and Lab/Studio Fee and Lower Division Credit
64	Art	20616	ART	1020	03	C	3.000	Space and Sequence	MW	08:00 am-10:40 am	15	15	0	0	0	0	David J  Court	01/10-05/03	BRET 103	Beyond the Classroom and Lab/Studio Fee and Lower Division Credit
65	Art	20886	ART	1020	04	C	3.000	Space and Sequence	TR	08:00 am-10:40 am	15	15	0	0	0	0	Heath Justin  Schultz	01/10-05/03	BRET 103	Beyond the Classroom and Lab/Studio Fee and Lower Division Credit
66	Art	21391	ART	1020	05	C	3.000	Space and Sequence	MW	02:00 pm-04:40 pm	15	15	0	0	0	0	Mark Edward  Bradley-Shoup	01/10-05/03	BRET 103	Beyond the Classroom and Lab/Studio Fee and Lower Division Credit
67	Art	24724	ART	1020	06	C	3.000	Space and Sequence	MW	05:00 pm-07:40 pm	15	15	0	0	0	0	Laura Grace  Little	01/10-05/03	BRET 103	Lab/Studio Fee and Lower Division Credit
68	Art	20036	ART	1060	0	C	3.000	Expanded Drawing	TR	10:50 am-01:30 pm	18	18	0	0	0	0	Kathryn F  Hargrave	01/10-05/03	BRET 208	Lab/Studio Fee and Lower Division Credit
69	Art	20037	ART	1060	01	C	3.000	Expanded Drawing	TR	03:05 pm-05:45 pm	18	17	1	0	0	0	Laura Grace  Little	01/10-05/03	BRET 208	Lab/Studio Fee and Lower Division Credit
70	Art	20038	ART	1060	02	C	3.000	Expanded Drawing	MW	08:00 am-10:40 am	18	16	2	0	0	0	Trevor Hunter  Reese	01/10-05/03	BRET 208	Lab/Studio Fee and Lower Division Credit
71	Art	20039	ART	1060	03	C	3.000	Expanded Drawing	MW	02:00 pm-04:40 pm	18	18	0	0	0	0	Heath Justin  Schultz	01/10-05/03	BRET 208	Lab/Studio Fee and Lower Division Credit
72	Art	20954	ART	1060	04	C	3.000	Expanded Drawing	MW	11:00 am-01:40 pm	18	18	0	0	0	0	Mark Edward  Bradley-Shoup	01/10-05/03	BRET 208	Lab/Studio Fee and Lower Division Credit
73	Art	21392	ART	1060	05	C	3.000	Expanded Drawing	TR	08:00 am-10:40 am	18	18	0	0	0	0	Mark Edward  Bradley-Shoup	01/10-05/03	BRET 208	Lab/Studio Fee and Lower Division Credit
74	Art	20042	ART	1110	0	D	3.000	Introduction to Art	N/A	TBD	55	55	0	0	0	0	Mary Kathryn  Dyer	01/10-05/03	XX INTERNET	Lower Division Credit and Potential Test Proctoring Fee and Visual & Performing Arts
75	Art	20040	ART	1110	01	D	3.000	Introduction to Art	N/A	TBD	55	55	0	0	0	0	Mary Kathryn  Dyer	01/10-05/03	XX INTERNET	Lower Division Credit and Potential Test Proctoring Fee and Visual & Performing Arts
76	Art	20041	ART	1110	02	D	3.000	Introduction to Art	N/A	TBD	55	55	0	0	0	0	Anna Halliwell  Boyd	01/10-05/03	XX INTERNET	Lower Division Credit and Potential Test Proctoring Fee and Visual & Performing Arts
77	Art	23964	ART	2060	0	C	3.000	Drawing Research and Ideation	MW	08:00 am-10:40 am	12	12	0	0	0	0	Ron L  Buffington	01/10-05/03	FACT 411	Lab/Studio Fee and Lower Division Credit
78	Art	22889	ART	2080	0	C	3.000	Painting II	MW	11:00 am-01:40 pm	12	12	0	0	0	0	Christina Renfer  Vogel	01/10-05/03	BRET 206	Lab/Studio Fee and Lower Division Credit
79	Art	23192	ART	2140	00	C	3.000	The History of Western Art from Prehistoric Through Medieval	TR	01:40 pm-02:55 pm	45	45	0	0	0	0	Nicole Genevieve  Corrigan	01/10-05/03	FACT 315	Historical Understanding and Lower Division Credit and Visual & Performing Arts
80	Art	23193	ART	2140	01	C	3.000	The History of Western Art from Prehistoric Through Medieval	TR	01:40 pm-02:55 pm	46	47	-1	0	0	0	Stephen Walter  Mandravelis	01/10-05/03	EMCS 422	Historical Understanding and Lower Division Credit and Visual & Performing Arts
81	Art	23965	ART	2140	02	D	3.000	The History of Western Art from Prehistoric Through Medieval	MW	09:00 am-10:15 am	45	45	0	0	0	0	Nicole Genevieve  Corrigan	01/10-05/03	XX INTERNET	Historical Understanding and Lower Division Credit and Potential Test Proctoring Fee and Visual & Performing Arts
82	Art	23689	ART	2230	0	C	3.000	Survey of Sculptural Practice	MW	02:00 pm-03:15 pm	14	6	8	0	0	0	Shane Robertson  Ward	01/10-05/03	BRET 205	Lower Division Credit
83	Art	21141	ART	2611	0	C	3.000	Typography I	MW	11:00 am-01:40 pm	12	11	1	0	0	0	Derek Ryan  Witucki	01/10-05/03	FACT 410	Lab/Studio Fee and Lower Division Credit
84	Art	23966	ART	2611	02	C	3.000	Typography I	MW	08:00 am-10:40 am	12	13	-1	0	0	0	Rebecca S  Nasadowski	01/10-05/03	FACT 410	Lab/Studio Fee and Lower Division Credit
85	Art	21142	ART	2611	1	C	3.000	Typography I	TR	04:40 pm-07:20 pm	12	12	0	0	0	0	Matthew J  Greenwell	01/10-05/03	FACT 410	Lab/Studio Fee and Lower Division Credit
86	Art	23206	ART	2810	01	C	3.000	Photography I	MW	08:00 am-10:40 am	12	8	4	0	0	0	Carolyn Frances  Lambert	01/10-05/03	FACT 306	Lab/Studio Fee and Lower Division Credit
87	Art	21258	ART	2820	01	C	3.000	Photography II	TR	08:00 am-10:40 am	12	9	3	0	0	0	Carolyn Frances  Lambert	01/10-05/03	FACT 306	Lab/Studio Fee
88	Art	21076	ART	2830	0	C	3.000	Media Art I	MW	02:00 pm-04:40 pm	12	6	6	0	0	0	April S  Childers	01/10-05/03	FACT 306	Lab/Studio Fee
89	Art	20939	ART	2830	01	C	3.000	Media Art I	MW	11:00 am-01:40 pm	12	8	4	0	0	0	Carolyn Gage  Calloway	01/10-05/03	FACT 306	Lab/Studio Fee
90	Art	21759	ART	2900R	0	C	0.000	Portfolio Review	F	09:00 am-09:50 am	60	49	11	0	0	0	Yan Yeuk Angie  To	01/10-05/03	540MC 104	Lower Division Credit and Repeatable Course
91	Art	22890	ART	3080	0	C	3.000	Painting and Drawing Studio II	TR	03:05 pm-05:45 pm	8	6	2	0	0	0	Christina Renfer  Vogel	01/10-05/03	BRET 206	Lab/Studio Fee and Upper Division Credit
92	Art	24330	ART	3100	0	C	3.000	Critical Theory for the Visual Artist	TR	03:05 pm-04:20 pm	33	31	2	0	0	0	Stephen Walter  Mandravelis	01/10-05/03	EMCS 240	Upper Division Credit
93	Art	24656	ART	3100	01	D	3.000	Critical Theory for the Visual Artist	MW	03:25 pm-04:40 pm	20	11	9	0	0	0	Stephen Walter  Mandravelis	01/10-05/03	XX INTERNET	Potential Test Proctoring Fee and Upper Division Credit
94	Art	20545	ART	3120	0	C	3.000	Figure Painting	MW	08:00 am-10:40 am	12	7	5	0	0	0	Laura Grace  Little	01/10-05/03	BRET 206	Lab/Studio Fee
95	Art	21338	ART	3240	0	D	3.000	Materials and Procedures in Art Education Ii	TR	10:50 am-12:05 pm	12	11	1	0	0	0	Anna Halliwell  Boyd	01/10-05/03	XX INTERNET	Lab/Studio Fee and Potential Test Proctoring Fee and Upper Division Credit
96	Art	20600	ART	3360	0	C	3.000	Sculpture II	TR	08:00 am-10:40 am	12	10	2	0	0	0	Shane Robertson  Ward	01/10-05/03	FACT 309	Lab/Studio Fee and Upper Division Credit
97	Art	20897	ART	3380	0	C	3.000	Sculpture Studio II	TR	10:50 am-01:30 pm	4	2	2	0	0	0	Shane Robertson  Ward	01/10-05/03	FACT 311	Lab/Studio Fee and Upper Division Credit
98	Art	21143	ART	3601	0	C	3.000	Design History	MW	02:00 pm-03:15 pm	20	20	0	0	0	0	Matthew J  Greenwell	01/10-05/03	FACT 315	Upper Division Credit
99	Art	23967	ART	3601	01	C	3.000	Design History	MW	03:25 pm-04:40 pm	20	18	2	0	0	0	Matthew J  Greenwell	01/10-05/03	FACT 315	Upper Division Credit
100	Art	21144	ART	3641	0	C	3.000	Professional Practices for Graphic Design	MW	02:00 pm-04:40 pm	14	11	3	0	0	0	Derek Ryan  Witucki	01/10-05/03	FACT 410	Lab/Studio Fee and Upper Division Credit
101	Art	20451	ART	3850	0	C	3.000	Photography and Media Art Studio II	TR	10:50 am-01:30 pm	8	5	3	0	0	0	Carolyn Frances  Lambert	01/10-05/03	FACT 305	Lab/Studio Fee
102	Art	20938	ART	4010	0	C	3.000	Visual Arts Internship	N/A	TBD	0	2	-2	0	0	0	Andrew T  O'Brien	01/10-05/03	TBD	Upper Division Credit
103	Art	20048	ART	4060	0	C	3.000	Drawing VI	MW	11:00 am-01:40 pm	12	12	0	0	0	0	Ron L  Buffington	01/10-05/03	FACT 411	Lab/Studio Fee and Upper Division Credit
104	Art	22888	ART	4080	0	C	3.000	Painting and Drawing Studio IV	TR	12:15 pm-02:55 pm	10	10	0	0	0	0	Christina Renfer  Vogel	01/10-05/03	FACT 411	Lab/Studio Fee and Upper Division Credit
105	Art	22891	ART	4090	0	C	3.000	Senior Studio Painting and/Or Drawing	TR	03:05 pm-05:45 pm	10	10	0	0	0	0	Ron L  Buffington	01/10-05/03	FACT 411	Lab/Studio Fee and Upper Division Credit
106	Art	21395	ART	4190R	0	C	3.000	Special Topics: Aesthetics	TR	01:40 pm-02:55 pm	12	10	2	0	0	0	Lucy Christine  Schultz	01/10-05/03	LUPH 390	Repeatable Course and Upper Division Credit
107	Art	23208	ART	4190R	01	C	3.000	Expanding identities: Globalization and US Art	MW	11:00 am-12:15 pm	30	30	0	0	0	0	Stephen Walter  Mandravelis	01/10-05/03	FACT 315	Repeatable Course and Upper Division Credit
108	Art	23968	ART	4190R	02	C	3.000	Art of the Three Faiths: Islamic, Christian, and	TR	09:25 am-10:40 am	30	29	1	0	0	0	Nicole Genevieve  Corrigan	01/10-05/03	FACT 315	Repeatable Course and Upper Division Credit
109	Art	23970	ART	4310	01	C	3.000	Site and Context	MW	11:00 am-01:40 pm	12	6	6	0	0	0	Edward Olin  Ross	01/10-05/03	FACT 309	Lab/Studio Fee and Upper Division Credit
110	Art	20956	ART	4380	0	C	3.000	Sculpture Studio IV	TR	10:50 am-01:30 pm	4	3	1	0	0	0	Shane Robertson  Ward	01/10-05/03	FACT 311	Lab/Studio Fee and Upper Division Credit
111	Art	21145	ART	4611	0	C	3.000	Graphic Design Workshop II	TR	08:00 am-10:40 am	14	14	0	0	0	0	Rebecca S  Nasadowski	01/10-05/03	FACT 410	Lab/Studio Fee and Upper Division Credit
112	Art	20561	ART	4815	0	C	3.000	Web and Book for Artists	TR	01:40 pm-04:20 pm	12	10	2	0	0	0	Andrew T  O'Brien	01/10-05/03	FACT 306	Lab/Studio Fee
113	Art	20550	ART	4850	0	C	3.000	Photography and Media Art Studio IV	TR	10:50 am-01:30 pm	12	12	0	0	0	0	Andrew T  O'Brien	01/10-05/03	FACT 315	Lab/Studio Fee
114	Art	22346	ART	4900R	01	C	3.000	Politics and Ethics of Design	TR	10:50 am-01:30 pm	12	11	1	0	0	0	Rebecca S  Nasadowski	01/10-05/03	FACT 410	Lab/Studio Fee and Repeatable Course and Upper Division Credit
115	Art	22348	ART	4900R	02	C	3.000	BA Portfolio and Professional Development	TR	01:40 pm-04:20 pm	13	5	8	0	0	0	Derek Ryan  Witucki	01/10-05/03	FACT 410	Lab/Studio Fee and Repeatable Course and Upper Division Credit
116	Art	23971	ART	4900R	03	C	3.000	Special Topics: Do it Yourself	MW	02:00 pm-04:40 pm	16	15	1	0	0	0	David J  Court	01/10-05/03	FACT 411	Lab/Studio Fee and Repeatable Course and Upper Division Credit
117	Art	20051	ART	4910	0	C	3.000	Professional Preparation for the Visual Artist	MW	08:00 am-10:40 am	40	39	1	0	0	0	Rachel Jobe  Reese	01/10-05/03	FACT 315	Beyond the Classroom and Upper Division Credit
118	Art	24536	ART	4995R	01	C	1.000-3.000	Departmental Thesis	N/A	TBD	0	1	-1	0	0	0	Andrew T  O'Brien	01/10-05/03	TBD	Repeatable Course and Upper Division Credit
119	Art	24537	ART	4995R	02	C	1.000-3.000	Departmental Thesis	N/A	TBD	0	2	-2	0	0	0	Mark Edward  Bradley-Shoup	01/10-05/03	TBD	Repeatable Course and Upper Division Credit
120	Art	21397	ART	4998R	0	C	1.000-9.000	Individual Studies	N/A	TBD	0	1	-1	0	0	0	Shane Robertson  Ward	01/10-05/03	TBD	Repeatable Course and Upper Division Credit
121	Art	24528	ART	4998R	02	C	1.000-9.000	Individual Studies	N/A	TBD	0	1	-1	0	0	0	Mark Edward  Bradley-Shoup	01/10-05/03	TBD	Repeatable Course and Upper Division Credit
122	Art	24529	ART	4998R	03	C	1.000-9.000	Individual Studies	N/A	TBD	0	1	-1	0	0	0	Andrew T  O'Brien	01/10-05/03	TBD	Repeatable Course and Upper Division Credit
123	Art	24612	ART	4998R	04	C	1.000-9.000	Individual Studies	N/A	TBD	0	1	-1	0	0	0	Matthew J  Greenwell	01/10-05/03	TBD	Repeatable Course and Upper Division Credit
